X Y
27.192 91.9216
135.655 427.03
535.997 1667.86
79.165 252.994
952.94 2961.56
114.383 361.04
904.386 2810.18
343.516 1071.83
201.758 633.492
791.009 2460.19
958.586 2979.13
868.343 2698.9
746.727 2321.58
252.937 790.352
917.142 2849.95
55.1164 178.892
711.966 2214.85
641.774 1996.52
312.998 977.205
932.463 2898.8
629.444 1958.02
8.63674 34.4873
551.744 1716.94
106.296 335.807
712.851 2217.05
117.222 369.724
628.04 1953.67
235.847 737.872
555.559 1728.61
975.066 3030.38
656.453 2042.06
65.7369 210.328
158.513 499.116
374.676 1168.11
373.058 1164.05
546.312 1701.56
694.571 2160.6
225.806 706.362
264.077 825.333
73.0308 233.247
915.281 2845.56
959.777 2983.27
477.523 1487.04
376.293 1173.45
606.647 1888.11
787.378 2447.74
174.322 546.818
92.6847 294.821
999.909 3107.78
91.6471 291.107
475.417 1480.97
549.486 1711.48
543.504 1691.98
736.625 2291.38
660.482 2055.3
792.871 2465.15
942.991 2929.89
573.077 1783.79
774.987 2408.97
392.01 1223.41
874.203 2717.04
923.429 2870.06
301.737 942.549
49.379 159.958
277.169 865.604
325.541 1015.85
53.0412 170.7
549.12 1708.84
635.853 1978.96
318.4 993.506
940.031 2922.09
74.6178 239.215
150.578 473.661
549.455 1709.78
774.743 2409.14
426.344 1328.01
209.479 657.203
985.687 3062.57
762.2 2370.42
171.392 537.893
64.7908 207.437
509.415 1586.38
837.855 2603.61
255.989 800.695
120.701 381.32
680.258 2116.45
506.943 1579.58
111.911 354.136
738.456 2296.44
944.121 2934.81
342.418 1067.77
788.629 2451.64
965.667 3001.64
70.8945 226.986
796.869 2477.63
141.667 445.778
95.3093 303.628
101.779 322.931
485.427 1511.44
609.333 1896.04
461.592 1438.57
587.756 1830.23
595.538 1852.88
608.234 1893.4
377.667 1177.95
400.159 1247.29
580.004 1804.54
79.2261 252.731
622.852 1937.3
894.955 2780.93
789.422 2453.69
215.308 674.856
384.503 1199.39
711.631 2213.81
200.262 628.99
901.883 2803.66
61.4643 198.438
988.25 3070.05
895.108 2782.65
901.639 2802.2
834.956 2595.03
273.537 854.259
450.758 1405.03
314.585 981.648
413.16 1288.17
917.783 2853.19
891.141 2769.5
344.768 1076.79
856.349 2661.42
223.212 698.379
360.79 1124.82
904.935 2812.07
887.845 2760.29
135.624 427.196
175.146 550.599
90.1212 286.277
597.736 1860.27
758.171 2357.3
404.279 1259.68
52.0341 167.826
945.616 2937.68
468.551 1460.22
645.863 2009.91
304.758 951.156
968.047 3008.72
921.262 2863.58
144.047 453.042
993.255 3087.03
97.5066 308.757
715.537 2225.6
910.184 2829.71
156.346 490.911
499.252 1555.31
10.8036 39.9541
1.52593 12.6549
515.091 1604.46
831.233 2583.63
870.541 2705.48
615.04 1914.65
817.194 2540.99
334.91 1045.01
615.833 1917.15
151.097 475.312
270.119 845.363
661.916 2059.92
970.153 3014.71
904.752 2812.89
92.8068 295.095
343.303 1070.65
276.101 863.738
539.811 1680.51
718.101 2233.15
307.932 962.762
566.149 1763.17
2.65511 14.8424
676.29 2102.85
355.632 1110.31
767.418 2385.73
31.7087 104.644
692.404 2153.03
991.791 3082.64
823.298 2559.73
918.577 2854.27
26.7342 91.0373
529.466 1649.2
11.6276 43.8323
677.664 2108.55
591.51 1840.49
865.627 2689.75
241.89 757.973
280.343 876.112
873.562 2714.59
836.94 2602.61
611.896 1904.44
109.531 346.675
195.38 612.219
562.365 1750.2
5.49333 23.4904
291.36 911.374
345.103 1077.92
678.03 2108.73
12.7873 46.6479
60.0299 194.212
106.815 337.663
871.181 2707.81
953.551 2963.33
812.25 2524.9
722.739 2246.79
618.854 1925.41
285.531 892.678
7.04978 28.2798
817.957 2543.84
538.408 1677.03
