X1 X2 X3 X4 Y
391.675 776.33 263.619 891.171 13950.1
200.781 813.898 492.538 970.763 15888.7
289.987 681.57 126.347 431.013 10149.2
607.257 285.806 694.327 438.612 8774.48
889.615 205.145 592.12 912.351 9460.62
562.548 116.672 427.747 610.92 6263.98
102.542 833.705 533.219 722.251 15216.9
893.613 861.049 923.795 111.179 14941.1
109.043 874.233 485.549 881.741 16121.5
650.472 28.5653 672.842 409.772 5686.05
673.91 504.959 496.506 502.854 10467.1
735.557 197.546 84.7499 843.318 6419.01
87.8933 951.14 597.308 370.556 15303.3
157.201 252.876 774.224 759.331 10190.2
734.275 785.821 900.998 649.8 16341.3
908.872 749.596 470.718 785.76 14317.3
280.007 355.51 324.839 717.551 8822.01
472.701 401.044 553.728 225.41 8370.64
492.416 331.187 938.17 119.938 9133.4
948.882 692.16 213.019 575.64 11419.5
680.319 383.862 934.813 654.103 12069.4
809.137 617.756 233.558 172.674 8913.65
760.643 985.504 231.025 575.335 14748.4
275.826 545.824 405.927 961.394 12428.4
949.736 334.697 687.979 929.106 11477.4
325.938 205.878 561.296 389.599 6952.92
79.7143 407.575 959.38 8.05689 9558
319.712 802.057 231.635 427.809 12022.2
540.147 133.457 964.263 934.111 10661.1
254.83 251.534 934.935 713.523 10819.8
844.05 695.761 984.527 365.307 14535.7
645.222 547.838 85.1772 820.978 10202.9
819.575 957.579 387.677 328.135 14171.6
24.8421 249.001 527.818 655.538 8396.81
426.374 12.7262 974.487 174.322 6019.74
76.8456 90.9757 699.545 973.327 8939.04
196.936 861.354 951.506 662.954 17447.7
387.219 725.791 413.709 25.605 10360.4
303.079 210.73 528.855 167.455 5858.13
823.878 584.948 270.455 328.562 9429.49
247.23 401.105 142.949 7.72118 5255.75
540.422 867.611 691.794 557.573 15736.6
179.022 456.435 303.995 907.071 10658.1
605.274 653.92 581.713 566.881 12840.2
836.512 260.109 68.6361 574.297 5855.16
255.287 143.315 611.56 534.043 7147.87
112.583 855.922 137.761 410.688 12035.6
774.896 17.7313 129.917 229.591 1961.62
246.651 873.562 579.089 342.082 14239.5
999.847 930.052 697.989 411.451 15863.7
640.706 79.7143 174.749 775.872 5272.06
446.242 117.069 249.55 344.493 4159.3
300.821 53.621 394.086 683.035 5680.45
64.3941 138.096 876.37 445.082 8056.91
903.745 987.945 991.18 805.231 19754.2
617.695 738.151 238.044 50.5997 9716.8
487.991 614.429 227.516 986.755 12395.1
686.544 836.024 597.43 314.035 13839
770.623 254.952 719.84 631.52 9429.94
297.281 637.928 480.636 223.396 10595.1
88.229 997.04 912.473 285.318 17077.7
176.092 875.515 962.279 746.3 18024.7
963.805 994.751 175.207 342.54 13557.1
627.918 169.134 575.549 99.5209 5371.81
297.647 894.498 526.048 878.475 16560.4
40.2234 516.434 847.407 143.559 10775.5
184.21 385.662 978.515 606.159 12056.7
12.1464 905.21 458.815 902.097 16405.1
353.282 876.736 514.603 958.525 16661.3
108.249 51.973 29.6945 206.458 1651.78
236.396 295.572 682.394 295.328 8152.73
237.434 265.175 529.374 465.407 7769.61
658.315 15.656 818.598 235.298 5533.48
656.85 433.424 311.441 559.435 8959.2
153.294 906.705 896.329 113.071 15239.6
600.879 138.859 774.133 860.286 9413.71
906.766 510.27 997.65 561.266 13413.4
534.898 895.352 645.314 375.652 15001.6
321.421 340.831 411.328 217.505 6912.55
34.3638 511.795 892.789 18.6468 10410.1
208.838 311.319 355.449 556.475 7773.93
288.583 580.432 259.346 2.25837 7832.26
605.792 284.097 325.114 846.858 8632.64
229.652 90.1212 422.956 358.959 4802.41
