X Y
10.6888 49264.7
12.3991 39068.8
33.5362 -1.25108e+006
6.77755 59373.5
10.7559 48949.7
26.7513 -462045
37.8442 -2.08135e+006
18.714 -60065.9
39.5056 -2.48877e+006
9.41191 54171.6
15.4057 6790.54
32.6011 -1.10871e+006
28.5214 -618086
19.162 -72443.2
9.27519 54586.5
1.08646 61012.7
14.4084 19944.5
2.53914 61007.3
30.7932 -866618
37.2912 -1.95725e+006
36.4269 -1.77419e+006
5.92059 60121.3
28.3493 -601549
13.4733 29955.6
25.4683 -367014
13.6088 28633
18.1207 -45023.5
33.8597 -1.30324e+006
30.5991 -843068
13.1852 32634.8
12.9997 34266.1
32.8416 -1.14416e+006
29.4369 -711303
29.393 -706622
5.97308 60083.5
9.83184 52771.4
28.6105 -626768
7.76147 58036.5
4.21766 60837.1
32.0029 -1.02393e+006
20.5329 -116253
9.2703 54600.2
10.1297 51657.6
36.1608 -1.72041e+006
22.7692 -209775
37.2607 -1.95056e+006
25.577 -374515
1.02054 61010.9
6.22089 59896.1
37.8747 -2.08836e+006
15.5889 4070.39
1.12186 61011.9
18.3953 -51803.5
35.255 -1.5462e+006
27.7621 -547402
33.6192 -1.26432e+006
27.9965 -568601
22.7558 -209123
3.60729 60937.2
9.23124 54716.8
37.102 -1.91605e+006
11.4347 45394.8
38.1079 -2.14249e+006
38.5791 -2.25501e+006
27.1603 -495417
17.0367 -21205.1
23.7263 -259447
5.14542 60547.7
5.07462 60576.8
26.7684 -463409
35.1219 -1.52173e+006
36.1559 -1.71944e+006
35.6078 -1.61246e+006
7.06565 59041
30.8066 -868264
22.5678 -200105
6.3625 59777.2
33.6497 -1.26921e+006
28.0209 -570841
39.48 -2.48207e+006
11.6044 44396.4
5.07462 60578.4
7.05222 59058.9
18.1561 -45880.9
21.1469 -139030
21.0639 -135829
21.2616 -143519
0.960723 61011.1
0.571307 61008.2
6.83859 59307.7
9.05423 55217.1
10.4263 50437.9
29.0292 -668679
24.7371 -319014
24.0706 -278884
23.7043 -258237
20.8612 -128178
14.3254 20920
19.8114 -92038.5
3.6671 60930
37.3107 -1.96154e+006
2.29377 61012.6
24.9776 -334330
37.9028 -2.09482e+006
34.5445 -1.41876e+006
3.35582 60964.1
5.76312 60223.6
16.834 -17239.8
